rule;n;n_pos;n_neg;subset;acc;acc_std;rec;rec_std;prec;prec_std;fscore;fscore_std
Any;2269;1535;734;0.05;0.9950639048038784;0.0005139666720886255;0.9953745928338764;0.0001954397394136942;0.9973243119332535;0.0007392097066427516;0.9963483500293441;0.0003790031535311055
'package' should be separated from previous statement.;2269;5;2264;0.05;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
'{' should be on the previous line;2269;74;2195;0.05;0.9981489643014545;0.0003298067330783507;0.9702702702702704;0.005405405405405439;0.9729174379859312;0.0060030612394647905;0.9715848501562789;0.005059326372007485
First sentence of Javadoc is incomplete (period is missing) or not present.;2269;21;2248;0.05;0.9975760246804761;0.00022036139268399868;0.9;0.014285714285714303;0.8479672501411633;0.017963257911541925;0.8730292962851103;0.010848238870559475
Line contains a tab character.;2269;1519;750;0.05;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
Incorrect indentation level;2269;914;1355;0.05;0.9783164389598941;0.0009411263333654835;0.9736323851203501;0.002212663940498555;0.9725711682415785;0.001448604114156749;0.97309933948442;0.0011828090914052624
<p> tag should be placed immediately before the first word, with no space after.;2269;2;2267;0.05;0.9979286029087703;0.00020196455244406237;0.0;0.0;0.0;0.0;0.0;0.0
<p> tag should be preceded with an empty line.;2269;12;2257;0.05;0.9985456148082857;0.0002019645524440624;0.8083333333333333;0.03818813079129868;0.9063636363636365;0.004165977904505285;0.8541501976284586;0.02354683163416041
'}' should be on the same line as the next part of a multi-block statement;2269;10;2259;0.05;0.9977523137946231;0.0003660918405869528;0.8200000000000001;0.039999999999999994;0.7145687645687645;0.03951100521560424;0.7630717108977978;0.0345099690890231
Wrong lexicographical order for import;2269;3;2266;0.05;0.9975319524019393;0.00021590918843394835;0.0;0.0;0.0;0.0;0.0;0.0
Line is longer than 100 characters;2269;59;2210;0.05;0.9783164389598943;0.001418552396600368;0.6915254237288135;0.03197959705781898;0.5684859129605617;0.023932228993405094;0.6237943515216893;0.024845464354466978
Missing a Javadoc comment.;2269;3;2266;0.05;0.9971793741736448;0.00021590918843394832;0.0;0.0;0.0;0.0;0.0;0.0
Abbreviation in name must contain no more than '2' consecutive capital letters;2269;4;2265;0.05;0.9988981930365801;0.00022036139268399868;0.625;0.125;0.7083333333333333;0.04166666666666669;0.6607142857142858;0.08928571428571425
Member name must match pattern '^[a-z][a-z0-9][a-zA-Z0-9]*$';2269;2;2267;0.05;0.9984133979726753;0.00021590918843394832;0.0;0.0;0.0;0.0;0.0;0.0
At-clause should have a non-empty description.;2269;16;2253;0.05;0.9992066989863376;0.00017628911414719896;1.0;0.0;0.8993464052287582;0.020915032679738578;0.9468805704099822;0.011408199643493776
Whitespace around a symbol is not followed by whitespace;2269;4;2265;0.05;0.9966064345526664;0.0002822002748978739;0.25;0.0;0.17761904761904762;0.019523809523809534;0.2070707070707071;0.013438519894596034
'(' is followed by whitespace.;2269;2;2267;0.05;0.9992066989863376;0.0003298067330783507;0.15;0.32015621187164245;0.2;0.4000000000000001;0.16666666666666666;0.3415650255319866
')' is preceded with whitespace.;2269;2;2267;0.05;0.999779638607316;0.00029564583219476756;0.8;0.33166247903554;0.8666666666666666;0.30550504633038933;0.8133333333333332;0.3022875746334569
"switch without ""default"" clause.";2269;0;2269;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Whitespace around a symbol is not preceded by whitespace;2269;2;2267;0.05;0.9989863375936535;0.0002822002748978739;0.05;0.15000000000000002;0.1;0.30000000000000004;0.06666666666666667;0.19999999999999998
Symbol should be on a new line;2269;3;2266;0.05;0.9965623622741298;0.0004318183768678967;0.0;0.0;0.0;0.0;0.0;0.0
Overload methods should not be split;2269;1;2268;0.05;0.9991185544292641;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
Empty line should be followed by <p> tag on the next line.;2269;1;2268;0.05;0.9995152049360951;0.0001322168356103992;0.0;0.0;0.0;0.0;0.0;0.0
Top-level class BookmarkStack has to reside in its own source file.;2269;0;2269;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'static' modifier out of order with the JLS suggestions.;2269;1;2268;0.05;0.9995592772146319;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
Empty catch block.;2269;1;2268;0.05;0.9995592772146319;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
'if' construct must use '{}'s.;2269;5;2264;0.05;0.9988541207580433;0.00021590918843394835;0.5999999999999999;1.1102230246251565e-16;0.85;0.12247448713915891;0.7;0.04082482904638632
'CTOR_DEF' should be separated from previous statement.;2269;0;2269;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'else' construct must use '{}'s.;2269;0;2269;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'for' construct must use '{}'s.;2269;1;2268;0.05;0.9995152049360951;0.0001322168356103992;0.0;0.0;0.0;0.0;0.0;0.0
'protected' modifier out of order with the JLS suggestions.;2269;0;2269;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Distance between variable declaration and its first usage is more than '3';2268;0;2268;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Javadoc comment has parse error.;2269;1;2268;0.05;0.9992507712648744;0.0002822002748978739;0.0;0.0;0.0;0.0;0.0;0.0
GenericWhitespace '>' is followed by whitespace.;2269;0;2269;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Local variable name must match pattern '^[a-z]([a-z0-9][a-zA-Z0-9]*)?$';2269;0;2269;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Each variable declaration must be in its own statement.;2269;0;2269;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Catch parameter name 'eMissingResource' must match pattern '^[a-z]([a-z0-9][a-zA-Z0-9]*)?$'.;2269;0;2269;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'public' modifier out of order with the JLS suggestions.;2269;0;2269;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Array brackets at illegal position.;2269;0;2269;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
At-clauses have to appear in the order '[@param, @return, @throws, @deprecated]'.;2268;0;2268;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Parameter must match pattern '^[a-z]([a-z0-9][a-zA-Z0-9]*)?$';2269;0;2269;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Single-line Javadoc comment should be multi-line.;2269;0;2269;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'METHOD_DEF' should be separated from previous statement.;2269;0;2269;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Redundant <p> tag.;2269;0;2269;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Any;4538;3070;1468;0.1;0.9947553988541207;0.00021590918843394835;0.9950814332247557;0.00022801302931597657;0.9971603076136211;0.0002928050713398368;0.9961197422638668;0.00015953953230387702
'package' should be separated from previous statement.;4537;10;4527;0.1;0.999977959003747;6.612298875907639e-05;1.0;0.0;0.990909090909091;0.02727272727272728;0.9952380952380953;0.014285714285714303
'{' should be on the previous line;4537;148;4389;0.1;0.9986995812210713;0.00015428697377122108;0.9763513513513514;0.003378378378378344;0.9836730915987275;0.0032765250392048475;0.9799929884917777;0.0023743736843310835
First sentence of Javadoc is incomplete (period is missing) or not present.;4537;42;4495;0.1;0.9979061053559622;0.00026540874099168193;0.911904761904762;0.021428571428571453;0.8692720157985331;0.022745275862686952;0.8897103138991851;0.01322632277218682
Line contains a tab character.;4537;3037;1500;0.1;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
Incorrect indentation level;4537;1828;2709;0.1;0.9844831386378665;0.0006171478950848392;0.9821115973741794;0.0010954586649070796;0.9794334480562028;0.0009603975470385635;0.9807702122639963;0.000766484890435683
<p> tag should be placed immediately before the first word, with no space after.;4538;4;4534;0.1;0.9990524460114589;0.00014110013744893696;0.425;0.16007810593582122;0.44333333333333336;0.09433981132056604;0.4309523809523809;0.12797480619406365
<p> tag should be preceded with an empty line.;4537;23;4514;0.1;0.9975754904121666;0.00024144701675343866;0.708695652173913;0.05162757429146919;0.7933580230511177;0.03436488533592576;0.7469842970881221;0.02988557952520946
'}' should be on the same line as the next part of a multi-block statement;4537;19;4518;0.1;0.9975975314084197;0.00011869439733599891;0.8052631578947368;0.02411881944713597;0.6804536043666478;0.01601505160640662;0.7373099154579585;0.012440122414536705
Wrong lexicographical order for import;4537;5;4532;0.1;0.9984130482697818;0.00019214895056383663;0.2;0.0;0.24833333333333335;0.050799168847093894;0.21929292929292932;0.020192927246553773
Line is longer than 100 characters;4537;118;4419;0.1;0.9888252148997134;0.0005126604959053673;0.7796610169491525;0.014180678415831783;0.7884250531567203;0.010752902258820349;0.7839504141167446;0.010318267655162978
Missing a Javadoc comment.;4537;6;4531;0.1;0.999338770112409;1.1102230246251565e-16;0.5;0.0;1.0;0.0;0.6666666666666667;1.1102230246251565e-16
Abbreviation in name must contain no more than '2' consecutive capital letters;4537;7;4530;0.1;0.9984350892660349;0.00033354079679132764;0.42857142857142855;0.0;0.5247619047619048;0.1367678404336003;0.46417332667332667;0.05367418317453144
Member name must match pattern '^[a-z][a-z0-9][a-zA-Z0-9]*$';4538;4;4534;0.1;0.9972234464521816;0.00034421549915850797;0.0;0.0;0.0;0.0;0.0;0.0
At-clause should have a non-empty description.;4537;32;4505;0.1;0.9987216222173243;0.00021595677697007417;0.96875;0.0;0.8665871754107048;0.02432075455669584;0.914647756335736;0.013389726996384603
Whitespace around a symbol is not followed by whitespace;4538;8;4530;0.1;0.9979506390480386;0.00035600472501990494;0.5;0.0;0.442053502053502;0.07031859173011175;0.4662135731485577;0.04080139049627118
'(' is followed by whitespace.;4537;3;4534;0.1;0.9997134670487107;0.00017214568384190168;0.7;0.23333333333333334;0.875;0.1547847968417226;0.7457142857142858;0.16944888660026075
')' is preceded with whitespace.;4537;3;4534;0.1;0.9996473440599516;0.0001763279700242509;0.8666666666666666;0.22110831935702666;0.7066666666666667;0.16299284237863534;0.7580952380952379;0.14722374106091987
"switch without ""default"" clause.";4538;1;4537;0.1;0.9997576024680475;6.61084178051996e-05;0.0;0.0;0.0;0.0;0.0;0.0
Whitespace around a symbol is not preceded by whitespace;4537;4;4533;0.1;0.9984571302622879;0.00019714066365438207;0.0;0.0;0.0;0.0;0.0;0.0
Symbol should be on a new line;4537;6;4531;0.1;0.9993828521049151;8.816398501210188e-05;0.8333333333333334;0.0;0.7380952380952381;0.04761904761904762;0.7820512820512819;0.025641025641025685
Overload methods should not be split;4538;2;4536;0.1;0.9994050242397533;0.0001009822762220312;0.0;0.0;0.0;0.0;0.0;0.0
Empty line should be followed by <p> tag on the next line.;4538;2;4536;0.1;0.9994711326575583;0.00010795459421697416;0.0;0.0;0.0;0.0;0.0;0.0
