rule;n;n_pos;n_neg;subset;acc;acc_std;rec;rec_std;prec;prec_std;fscore;fscore_std
Any;780;558;222;0.05;0.9974358974358974;0.0;0.9982078853046594;1.1102230246251565e-16;0.9982078853046594;1.1102230246251565e-16;0.9982078853046594;1.1102230246251565e-16
'package' should be separated from previous statement.;780;2;778;0.05;0.9988461538461539;0.0008974358974358943;1.0;0.0;0.7333333333333334;0.18559214542766742;0.8333333333333334;0.12018504251546633
'{' should be on the previous line;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
First sentence of Javadoc is incomplete (period is missing) or not present.;780;7;773;0.05;0.9952564102564103;0.0005875097044815159;0.7142857142857143;0.0;0.75;0.054554472558998104;0.7307692307692308;0.02517898733492216
Line contains a tab character.;780;555;225;0.05;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
Incorrect indentation level;781;308;473;0.05;0.9651728553137003;0.0012545402011693893;0.962987012987013;0.0029756985032181045;0.9494365790051555;0.0029134747852222437;0.956157331913702;0.001576382767732576
<p> tag should be placed immediately before the first word, with no space after.;781;2;779;0.05;0.9948783610755442;0.0009918011129852761;0.0;0.0;0.0;0.0;0.0;0.0
<p> tag should be preceded with an empty line.;780;1;779;0.05;0.998717948717949;2.220446049250313e-16;0.0;0.0;0.0;0.0;0.0;0.0
'}' should be on the same line as the next part of a multi-block statement;780;1;779;0.05;0.9984615384615385;0.000512820512820511;0.0;0.0;0.0;0.0;0.0;0.0
Wrong lexicographical order for import;780;1;779;0.05;0.998717948717949;2.220446049250313e-16;0.0;0.0;0.0;0.0;0.0;0.0
Line is longer than 100 characters;781;20;761;0.05;0.9763124199743917;0.002446219356535569;0.5800000000000001;0.0458257569495584;0.5372355266217158;0.05023500607529102;0.556585201934039;0.03975067893350864
Missing a Javadoc comment.;780;1;779;0.05;0.9976923076923077;0.000512820512820511;0.0;0.0;0.0;0.0;0.0;0.0
Abbreviation in name must contain no more than '2' consecutive capital letters;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Member name must match pattern '^[a-z][a-z0-9][a-zA-Z0-9]*$';780;1;779;0.05;0.997179487179487;0.0012561485860426512;0.0;0.0;0.0;0.0;0.0;0.0
At-clause should have a non-empty description.;780;14;766;0.05;0.9982051282051284;0.0006280742930213256;0.9714285714285715;0.03499271061118824;0.9314285714285715;0.002332847374079209;0.9507389162561575;0.018099677902338757
Whitespace around a symbol is not followed by whitespace;780;2;778;0.05;0.9982051282051284;0.0006280742930213256;0.3;0.24494897427831783;0.6;0.48989794855663565;0.39999999999999997;0.3265986323710904
'(' is followed by whitespace.;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
')' is preceded with whitespace.;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"switch without ""default"" clause.";780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Whitespace around a symbol is not preceded by whitespace;781;2;779;0.05;0.997439180537772;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
Symbol should be on a new line;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Overload methods should not be split;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Empty line should be followed by <p> tag on the next line.;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Top-level class BookmarkStack has to reside in its own source file.;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'static' modifier out of order with the JLS suggestions.;780;1;779;0.05;0.9975641025641024;0.0016666666666666607;0.0;0.0;0.0;0.0;0.0;0.0
Empty catch block.;780;1;779;0.05;0.9984615384615385;0.000512820512820511;0.0;0.0;0.0;0.0;0.0;0.0
'if' construct must use '{}'s.;780;5;775;0.05;0.9964102564102564;0.000512820512820511;0.8800000000000001;0.16;0.6849999999999999;0.07516648189186456;0.7548717948717949;0.045684220412964376
'CTOR_DEF' should be separated from previous statement.;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'else' construct must use '{}'s.;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'for' construct must use '{}'s.;780;1;779;0.05;0.998717948717949;2.220446049250313e-16;0.0;0.0;0.0;0.0;0.0;0.0
'protected' modifier out of order with the JLS suggestions.;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Distance between variable declaration and its first usage is more than '3';780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Javadoc comment has parse error.;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GenericWhitespace '>' is followed by whitespace.;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Local variable name must match pattern '^[a-z]([a-z0-9][a-zA-Z0-9]*)?$';780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Each variable declaration must be in its own statement.;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Catch parameter name 'eMissingResource' must match pattern '^[a-z]([a-z0-9][a-zA-Z0-9]*)?$'.;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'public' modifier out of order with the JLS suggestions.;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Array brackets at illegal position.;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
At-clauses have to appear in the order '[@param, @return, @throws, @deprecated]'.;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Parameter must match pattern '^[a-z]([a-z0-9][a-zA-Z0-9]*)?$';780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Single-line Javadoc comment should be multi-line.;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'METHOD_DEF' should be separated from previous statement.;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Redundant <p> tag.;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Any;1560;1116;444;0.1;0.9964102564102564;0.00031403714651066273;0.996415770609319;0.0;0.9985634116794984;0.0004393696487205717;0.9974883868774229;0.0002191923900781973
'package' should be separated from previous statement.;1559;3;1556;0.1;0.999615137908916;0.00031423858149881145;0.8;0.16329931618554522;1.0;0.0;0.8800000000000001;0.0979795897113271
'{' should be on the previous line;1559;0;1559;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
First sentence of Javadoc is incomplete (period is missing) or not present.;1560;14;1546;0.1;0.9975641025641024;0.00047969966497101645;0.9285714285714286;0.0;0.8246078431372549;0.038520991446313047;0.8730292918057101;0.02175045551061368
Line contains a tab character.;1560;1110;450;0.1;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
Incorrect indentation level;1560;615;945;0.1;0.9789102564102563;0.0013583089807959624;0.9813008130081302;0.0026469626985527878;0.9657573720464757;0.001866783754919676;0.9734647516725786;0.0017220617213812043
<p> tag should be placed immediately before the first word, with no space after.;1560;3;1557;0.1;0.998076923076923;1.1102230246251565e-16;0.6666666666666667;1.1102230246251565e-16;0.5;0.0;0.5714285714285714;1.1102230246251565e-16
<p> tag should be preceded with an empty line.;1559;2;1557;0.1;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
'}' should be on the same line as the next part of a multi-block statement;1559;1;1558;0.1;0.9993585631815266;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Wrong lexicographical order for import;1560;2;1558;0.1;0.9974358974358974;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Line is longer than 100 characters;1560;39;1521;0.1;0.9763461538461538;0.0006692504172378533;0.5717948717948718;0.030447030992404943;0.5246339199011275;0.011865650740761506;0.5469240949107042;0.01824250360406943
Missing a Javadoc comment.;1560;2;1558;0.1;0.9973076923076922;0.00038461538461538326;0.0;0.0;0.0;0.0;0.0;0.0
Abbreviation in name must contain no more than '2' consecutive capital letters;1560;1;1559;0.1;0.999294871794872;0.0001923076923076916;0.0;0.0;0.0;0.0;0.0;0.0
Member name must match pattern '^[a-z][a-z0-9][a-zA-Z0-9]*$';1560;2;1558;0.1;0.9973717948717947;0.0008812645567222738;0.0;0.0;0.0;0.0;0.0;0.0
At-clause should have a non-empty description.;1560;28;1532;0.1;0.9969230769230769;0.00047969966497101645;0.9285714285714286;0.0;0.9033825944170772;0.023282335193125486;0.915651196957912;0.012011453764877937
Whitespace around a symbol is not followed by whitespace;1559;4;1555;0.1;0.9961513790891597;0.0;0.25;0.0;0.25;0.0;0.25;0.0
'(' is followed by whitespace.;1560;1;1559;0.1;0.9988461538461537;0.0005588331978898279;0.0;0.0;0.0;0.0;0.0;0.0
')' is preceded with whitespace.;1560;1;1559;0.1;0.9991025641025642;0.00042520830645581894;0.0;0.0;0.0;0.0;0.0;0.0
"switch without ""default"" clause.";1559;0;1559;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Whitespace around a symbol is not preceded by whitespace;1560;3;1557;0.1;0.9983974358974358;0.0003205128205128194;0.33333333333333337;5.551115123125783e-17;0.75;0.25;0.45000000000000007;0.04999999999999999
Symbol should be on a new line;1559;0;1559;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Overload methods should not be split;1560;1;1559;0.1;0.998717948717949;2.220446049250313e-16;0.0;0.0;0.0;0.0;0.0;0.0
Empty line should be followed by <p> tag on the next line.;1560;1;1559;0.1;0.9993589743589745;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
Top-level class BookmarkStack has to reside in its own source file.;1559;0;1559;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'static' modifier out of order with the JLS suggestions.;1559;1;1558;0.1;0.9993585631815266;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Empty catch block.;1559;1;1558;0.1;0.9993585631815266;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'if' construct must use '{}'s.;1560;10;1550;0.1;0.9967307692307692;0.0007824715138290807;0.73;0.07810249675906658;0.7532828282828283;0.06453164124017693;0.7402255639097745;0.06605883513913247
'CTOR_DEF' should be separated from previous statement.;1560;1;1559;0.1;0.9992307692307693;0.0002564102564102555;0.0;0.0;0.0;0.0;0.0;0.0
'else' construct must use '{}'s.;1560;1;1559;0.1;0.9993589743589745;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
'for' construct must use '{}'s.;1560;2;1558;0.1;0.9967948717948719;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
'protected' modifier out of order with the JLS suggestions.;1560;1;1559;0.1;0.9991025641025642;0.00031403714651066273;0.0;0.0;0.0;0.0;0.0;0.0
Distance between variable declaration and its first usage is more than '3';1560;1;1559;0.1;0.9993589743589745;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
Javadoc comment has parse error.;1560;1;1559;0.1;0.9989102564102567;0.00041045668188671963;0.0;0.0;0.0;0.0;0.0;0.0
GenericWhitespace '>' is followed by whitespace.;1560;1;1559;0.1;0.9992948717948718;0.00019230769230769163;0.0;0.0;0.0;0.0;0.0;0.0
Local variable name must match pattern '^[a-z]([a-z0-9][a-zA-Z0-9]*)?$';1560;1;1559;0.1;0.9993589743589745;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
Each variable declaration must be in its own statement.;1560;1;1559;0.1;0.9988461538461539;0.00038461538461538326;0.0;0.0;0.0;0.0;0.0;0.0
Catch parameter name 'eMissingResource' must match pattern '^[a-z]([a-z0-9][a-zA-Z0-9]*)?$'.;1560;1;1559;0.1;0.9980128205128207;0.00044871794871794715;0.0;0.0;0.0;0.0;0.0;0.0
'public' modifier out of order with the JLS suggestions.;1560;1;1559;0.1;0.9993589743589745;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
Array brackets at illegal position.;1560;1;1559;0.1;0.9991666666666668;0.0002937548522407579;0.0;0.0;0.0;0.0;0.0;0.0
At-clauses have to appear in the order '[@param, @return, @throws, @deprecated]'.;1560;1;1559;0.1;0.9990384615384615;0.0003205128205128194;0.0;0.0;0.0;0.0;0.0;0.0
Parameter must match pattern '^[a-z]([a-z0-9][a-zA-Z0-9]*)?$';1560;1;1559;0.1;0.998717948717949;2.220446049250313e-16;0.0;0.0;0.0;0.0;0.0;0.0
Single-line Javadoc comment should be multi-line.;1559;0;1559;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'METHOD_DEF' should be separated from previous statement.;1559;0;1559;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Redundant <p> tag.;1559;0;1559;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Any;3119;2232;887;0.2;0.9966655979480604;0.0005008175489520201;0.9968637992831543;1.1102230246251565e-16;0.9984747319699323;0.0006995435099932026;0.9976684928750721;0.00034929740158146143
'package' should be separated from previous statement.;3118;6;3112;0.2;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
'{' should be on the previous line;3118;0;3118;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
First sentence of Javadoc is incomplete (period is missing) or not present.;3119;27;3092;0.2;0.9966655979480603;0.0003570224022334167;0.8777777777777779;0.02371527495345498;0.7696841397849463;0.019895207645890395;0.8200641873532458;0.019161644324982182
Line contains a tab character.;3119;2219;900;0.2;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
Incorrect indentation level;3119;1229;1890;0.2;0.9891631933311957;0.0006380169522966513;0.9890968266883645;0.0019663215579486374;0.9834976303937539;0.0011167093276022728;0.9862873816358346;0.0008172414308946534
<p> tag should be placed immediately before the first word, with no space after.;3119;5;3114;0.2;0.9990060916960566;0.00022443090734212132;0.8;0.0;0.6647619047619048;0.07920237290015925;0.7236363636363636;0.04633094509967616
<p> tag should be preceded with an empty line.;3118;4;3114;0.2;0.9990378447722901;1.1102230246251565e-16;0.75;0.0;0.5999999999999999;1.1102230246251565e-16;0.6666666666666664;1.1102230246251565e-16
'}' should be on the same line as the next part of a multi-block statement;3118;2;3116;0.2;0.9991019884541371;0.0003142385814988115;0.0;0.0;0.0;0.0;0.0;0.0
Wrong lexicographical order for import;3119;4;3115;0.2;0.9989740301378648;0.0001923693491503897;0.5;0.0;0.65;0.13844373104863458;0.5595238095238095;0.0479157423749955
Line is longer than 100 characters;3119;78;3041;0.2;0.9822378967617829;0.0006282756634262693;0.6974358974358974;0.01918798659884072;0.631173223341486;0.011872960106300253;0.6625427512468869;0.01283283241745361
Missing a Javadoc comment.;3119;3;3116;0.2;0.9983969220904138;0.0002867672943250713;0.2333333333333333;0.15275252316519466;0.195;0.1343812983020083;0.21071428571428572;0.14025911395563231
Abbreviation in name must contain no more than '2' consecutive capital letters;3118;1;3117;0.2;0.9991661321359848;0.0003848620910840539;0.0;0.0;0.0;0.0;0.0;0.0
Member name must match pattern '^[a-z][a-z0-9][a-zA-Z0-9]*$';3118;3;3115;0.2;0.9987171263630532;0.00020284013214678982;0.6666666666666667;1.1102230246251565e-16;0.4066666666666666;0.05333333333333334;0.5031746031746032;0.04034369849885348
At-clause should have a non-empty description.;3119;55;3064;0.2;0.9984610452067972;0.00012824623276688207;0.9454545454545455;1.1102230246251565e-16;0.9665967854647102;0.007267645003494084;0.9558953448861706;0.003533809038396196
Whitespace around a symbol is not followed by whitespace;3118;8;3110;0.2;0.9940346375881977;0.0007480374464201705;0.125;0.0;0.08181429681429682;0.013490448174809723;0.09823424223881891;0.010207057128817386
'(' is followed by whitespace.;3118;0;3118;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
')' is preceded with whitespace.;3118;0;3118;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"switch without ""default"" clause.";3118;0;3118;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Whitespace around a symbol is not preceded by whitespace;3119;5;3114;0.2;0.9969862135299776;0.00047985346415826367;0.2;0.0;0.16539682539682538;0.04034362043434584;0.1784892884892885;0.023441902362776015
Symbol should be on a new line;3118;0;3118;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Overload methods should not be split;3118;0;3118;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Empty line should be followed by <p> tag on the next line.;3118;1;3117;0.2;0.9995509942270686;0.00015711929074943294;0.0;0.0;0.0;0.0;0.0;0.0
Top-level class BookmarkStack has to reside in its own source file.;3118;0;3118;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'static' modifier out of order with the JLS suggestions.;3118;2;3116;0.2;0.9987171263630531;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
Empty catch block.;3118;2;3116;0.2;0.999807568954458;0.00015711929074937854;0.7;0.24494897427831783;1.0;0.0;0.8;0.16329931618554522
'if' construct must use '{}'s.;3119;19;3100;0.2;0.9985572298813723;0.0004118381718071513;0.9210526315789475;0.02631578947368418;0.8546536796536797;0.03872320989893007;0.8863883677298313;0.031039378210110637
'CTOR_DEF' should be separated from previous statement.;3118;0;3118;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'else' construct must use '{}'s.;3118;0;3118;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'for' construct must use '{}'s.;3118;3;3115;0.2;0.9992944194996793;0.00012828736369465687;0.5999999999999999;0.13333333333333333;0.6333333333333333;0.06666666666666665;0.6133333333333334;0.10666666666666665
'protected' modifier out of order with the JLS suggestions.;3118;0;3118;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Distance between variable declaration and its first usage is more than '3';3118;1;3117;0.2;0.9996792815907634;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Javadoc comment has parse error.;3118;1;3117;0.2;0.9996792815907634;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GenericWhitespace '>' is followed by whitespace.;3118;0;3118;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Local variable name must match pattern '^[a-z]([a-z0-9][a-zA-Z0-9]*)?$';3118;1;3117;0.2;0.9992302758178319;0.00032706988541328033;0.0;0.0;0.0;0.0;0.0;0.0
Each variable declaration must be in its own statement.;3118;0;3118;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Catch parameter name 'eMissingResource' must match pattern '^[a-z]([a-z0-9][a-zA-Z0-9]*)?$'.;3118;0;3118;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'public' modifier out of order with the JLS suggestions.;3118;0;3118;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Array brackets at illegal position.;3118;0;3118;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
At-clauses have to appear in the order '[@param, @return, @throws, @deprecated]'.;3118;1;3117;0.2;0.999518922386145;0.0001603592046183766;0.0;0.0;0.0;0.0;0.0;0.0
Parameter must match pattern '^[a-z]([a-z0-9][a-zA-Z0-9]*)?$';3118;0;3118;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Single-line Javadoc comment should be multi-line.;3118;0;3118;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'METHOD_DEF' should be separated from previous statement.;3118;0;3118;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Redundant <p> tag.;3118;0;3118;0.2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Any;5197;3719;1478;0.3;0.9970367519722917;0.0001276361281645331;0.9973111051357894;1.1102230246251565e-16;0.9985462304157237;0.00017827787665024988;0.9979282776471464;8.903976295923793e-05
'package' should be separated from previous statement.;5197;10;5187;0.3;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
'{' should be on the previous line;5196;0;5196;0.3;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
First sentence of Javadoc is incomplete (period is missing) or not present.;5196;44;5152;0.3;0.9973248652809852;0.0002009296864686682;0.9113636363636364;0.015909090909090894;0.8004611998645613;0.011001762130449086;0.8522627454876037;0.011340840967976972
Line contains a tab character.;5197;3698;1499;0.3;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
Incorrect indentation level;5197;2048;3149;0.3;0.9906869347700595;0.0008613826933076523;0.989599609375;0.0013990770294818754;0.9868061026745613;0.0013027038632596915;0.988200239682605;0.001092193156235052
<p> tag should be placed immediately before the first word, with no space after.;5197;8;5189;0.3;0.9987300365595535;0.00012763612816453314;0.625;0.05590169943749474;0.5821428571428571;0.038953622831136576;0.6018627450980392;0.0420728757548034
<p> tag should be preceded with an empty line.;5197;7;5190;0.3;0.9991725995766789;0.00022848455045291309;0.7857142857142857;0.13170777796132696;0.6609920634920634;0.06749580065882592;0.71546918767507;0.08952265726419169
'}' should be on the same line as the next part of a multi-block statement;5197;4;5193;0.3;0.9987877621704829;8.817732720715472e-05;0.0;0.0;0.0;0.0;0.0;0.0
Wrong lexicographical order for import;5197;6;5191;0.3;0.999230325187608;2.220446049250313e-16;0.6666666666666667;1.1102230246251565e-16;0.6666666666666667;1.1102230246251565e-16;0.6666666666666667;1.1102230246251565e-16
Line is longer than 100 characters;5196;129;5067;0.3;0.9855080831408776;0.0006268859690108568;0.7170542635658915;0.011099086095563036;0.7047225641155379;0.01512454851252235;0.7107588568140908;0.011138553829204785
Missing a Javadoc comment.;5196;4;5192;0.3;0.9994418783679755;0.0001347190146266275;0.35;0.12247448713915891;0.8666666666666666;0.20816659994661327;0.48380952380952386;0.13467353656619835
Abbreviation in name must contain no more than '2' consecutive capital letters;5197;2;5195;0.3;0.9994997113719453;9.426552791160951e-05;0.0;0.0;0.0;0.0;0.0;0.0
Member name must match pattern '^[a-z][a-z0-9][a-zA-Z0-9]*$';5197;5;5192;0.3;0.9990763902251298;0.0001677467363302161;0.44000000000000006;0.07999999999999999;0.5383333333333333;0.11106804721030755;0.478989898989899;0.07601008423101255
At-clause should have a non-empty description.;5197;91;5106;0.3;0.9994227438907062;0.00017210452010773796;0.9868131868131869;0.004395604395604425;0.9803750597228857;0.006482296824828436;0.9835765327568607;0.004881028176069114
Whitespace around a symbol is not followed by whitespace;5197;13;5184;0.3;0.9968058495285742;0.0003354934726604322;0.36923076923076925;0.030769230769230767;0.369551282051282;0.055102110699593865;0.3675426792098456;0.03479919178934338
'(' is followed by whitespace.;5197;1;5196;0.3;0.9997690975562825;7.69674812391763e-05;0.0;0.0;0.0;0.0;0.0;0.0
')' is preceded with whitespace.;5197;1;5196;0.3;0.9997498556859726;8.817732720715472e-05;0.0;0.0;0.0;0.0;0.0;0.0
"switch without ""default"" clause.";5196;0;5196;0.3;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Whitespace around a symbol is not preceded by whitespace;5196;7;5189;0.3;0.9983641262509622;0.00037762542090737805;0.42857142857142855;0.0;0.429047619047619;0.11297763308828562;0.42140433096315444;0.05647456271134849
Symbol should be on a new line;5196;0;5196;0.3;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Overload methods should not be split;5197;1;5196;0.3;0.9996344044641139;5.772561092938222e-05;0.0;0.0;0.0;0.0;0.0;0.0
Empty line should be followed by <p> tag on the next line.;5197;2;5195;0.3;0.9994227438907062;0.0;0.05;0.15000000000000002;0.03333333333333333;0.09999999999999999;0.04;0.12
Top-level class BookmarkStack has to reside in its own source file.;5196;0;5196;0.3;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'static' modifier out of order with the JLS suggestions.;5197;3;5194;0.3;0.9989224552626516;9.426552791160951e-05;0.0;0.0;0.0;0.0;0.0;0.0
Empty catch block.;5197;3;5194;0.3;0.999903790648451;0.0001551329179968931;0.9;0.1527525231651947;0.9333333333333332;0.13333333333333336;0.9133333333333333;0.13678856352455462
'if' construct must use '{}'s.;5197;31;5166;0.3;0.9989224552626516;0.0003671114879418679;0.9612903225806452;0.012903225806451646;0.8732948179271709;0.04490539065523047;0.9147022132096758;0.02776253160157937
'CTOR_DEF' should be separated from previous statement.;5197;1;5196;0.3;0.9998075812969022;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
'else' construct must use '{}'s.;5197;1;5196;0.3;0.999730613815663;0.0001539349624783526;0.0;0.0;0.0;0.0;0.0;0.0
'for' construct must use '{}'s.;5196;5;5191;0.3;0.999615088529638;2.220446049250313e-16;0.8;0.0;0.8;0.0;0.8000000000000002;0.0
'protected' modifier out of order with the JLS suggestions.;5197;1;5196;0.3;0.9998075812969022;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
Distance between variable declaration and its first usage is more than '3';5197;2;5195;0.3;0.9994227438907062;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Javadoc comment has parse error.;5197;2;5195;0.3;0.9989416971329612;0.00019717049770943965;0.0;0.0;0.0;0.0;0.0;0.0
GenericWhitespace '>' is followed by whitespace.;5197;1;5196;0.3;0.9998075812969022;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
Local variable name must match pattern '^[a-z]([a-z0-9][a-zA-Z0-9]*)?$';5196;1;5195;0.3;0.999615088529638;2.220446049250313e-16;0.0;0.0;0.0;0.0;0.0;0.0
Each variable declaration must be in its own statement.;5197;1;5196;0.3;0.999730613815663;9.426552791160951e-05;0.0;0.0;0.0;0.0;0.0;0.0
