rule;n;n_pos;n_neg;subset;acc;acc_std;rec;rec_std;prec;prec_std;fscore;fscore_std
Any;746;450;296;0.05;0.9961126005361931;0.0004021447721179628;0.9955555555555554;1.1102230246251565e-16;0.9979955456570156;0.000668151447661458;0.9967739458096225;0.0003329608993908328
'package' should be separated from previous statement.;746;0;746;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'{' should be on the previous line;746;0;746;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
First sentence of Javadoc is incomplete (period is missing) or not present.;746;2;744;0.05;0.9946380697050939;0.0013404825737265424;0.0;0.0;0.0;0.0;0.0;0.0
Line contains a tab character.;746;448;298;0.05;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
Incorrect indentation level;746;243;503;0.05;0.9761394101876675;0.003217158176943702;0.9716049382716049;0.006493717628831077;0.955869423348159;0.004241815898813483;0.9636674242191596;0.004946957065311428
<p> tag should be placed immediately before the first word, with no space after.;746;0;746;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
<p> tag should be preceded with an empty line.;746;11;735;0.05;0.9986595174262736;0.0008477956193480915;0.9727272727272727;0.0416597790450531;0.9401515151515151;0.0392845217044369;0.9553171466214945;0.02877971733137666
'}' should be on the same line as the next part of a multi-block statement;746;7;739;0.05;0.9969168900804289;0.0006142862861871104;0.9571428571428571;0.06546536707079774;0.7694444444444444;0.012729376930432895;0.8525;0.03436931771216888
Wrong lexicographical order for import;746;1;745;0.05;0.9982573726541556;0.0006142862861871103;0.0;0.0;0.0;0.0;0.0;0.0
Line is longer than 100 characters;746;26;720;0.05;0.9659517426273458;0.0019145920719954035;0.45;0.045670546488607376;0.5128528138528139;0.03222777099940767;0.47870824037292997;0.03729706308379004
Missing a Javadoc comment.;745;0;745;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Abbreviation in name must contain no more than '2' consecutive capital letters;746;0;746;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Member name must match pattern '^[a-z][a-z0-9][a-zA-Z0-9]*$';746;0;746;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
At-clause should have a non-empty description.;746;0;746;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Whitespace around a symbol is not followed by whitespace;746;0;746;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'(' is followed by whitespace.;746;0;746;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
')' is preceded with whitespace.;746;0;746;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"switch without ""default"" clause.";746;0;746;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Whitespace around a symbol is not preceded by whitespace;746;0;746;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Symbol should be on a new line;746;3;743;0.05;0.9965147453083111;0.0006566996629445523;0.6;0.13333333333333333;0.6;0.15275252316519466;0.5757142857142857;0.07843277809865022
Overload methods should not be split;745;0;745;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Empty line should be followed by <p> tag on the next line.;745;0;745;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Top-level class BookmarkStack has to reside in its own source file.;746;0;746;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'static' modifier out of order with the JLS suggestions.;746;0;746;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Empty catch block.;746;0;746;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'if' construct must use '{}'s.;746;0;746;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'CTOR_DEF' should be separated from previous statement.;746;0;746;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'else' construct must use '{}'s.;746;0;746;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'for' construct must use '{}'s.;746;0;746;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'protected' modifier out of order with the JLS suggestions.;746;0;746;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Distance between variable declaration and its first usage is more than '3';746;0;746;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Javadoc comment has parse error.;745;0;745;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GenericWhitespace '>' is followed by whitespace.;746;0;746;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Local variable name must match pattern '^[a-z]([a-z0-9][a-zA-Z0-9]*)?$';746;0;746;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Each variable declaration must be in its own statement.;746;0;746;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Catch parameter name 'eMissingResource' must match pattern '^[a-z]([a-z0-9][a-zA-Z0-9]*)?$'.;746;0;746;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'public' modifier out of order with the JLS suggestions.;746;0;746;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Array brackets at illegal position.;746;0;746;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
At-clauses have to appear in the order '[@param, @return, @throws, @deprecated]'.;746;0;746;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Parameter must match pattern '^[a-z]([a-z0-9][a-zA-Z0-9]*)?$';746;0;746;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Single-line Javadoc comment should be multi-line.;745;0;745;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'METHOD_DEF' should be separated from previous statement.;745;0;745;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Redundant <p> tag.;746;0;746;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Any;1491;899;592;0.1;0.9959758551307848;0.0005195148687065364;0.9957730812013349;0.0006674082313681828;0.9975486210593851;0.0004446915695189223;0.996659924284554;0.0004313708069972939
'package' should be separated from previous statement.;1492;1;1491;0.1;0.9991286863270776;0.0003071431430935806;0.0;0.0;0.0;0.0;0.0;0.0
'{' should be on the previous line;1491;0;1491;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
First sentence of Javadoc is incomplete (period is missing) or not present.;1491;4;1487;0.1;0.9967136150234742;0.0002012072434607437;0.5;0.0;0.41000000000000003;0.029999999999999992;0.45000000000000007;0.01666666666666666
Line contains a tab character.;1491;895;596;0.1;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
