rule;n;n_pos;n_neg;subset;acc;acc_std;rec;rec_std;prec;prec_std;fscore;fscore_std
Any;2269;539;1730;0.05;0.9285588364918466;0.0012061641413313193;0.8623376623376624;0.004295301262630871;0.8409708500301882;0.0028124280894239;0.8515131470913249;0.0026338894182526603
Line is longer than 80 characters;2270;221;2049;0.05;0.9855506607929515;0.001390284919652804;0.9190045248868779;0.014932126696832596;0.9316585517336184;0.0028474007765823704;0.9252255002458556;0.007781387941747051
Line has trailing spaces.;2269;48;2221;0.05;0.9912296165711767;0.000460128096470269;0.79375;0.006250000000000012;0.7923406064553481;0.015247193523317978;0.7929853951890034;0.009441460566323473
'{' should be on the previous line.;2269;74;2195;0.05;0.9997355663287791;0.00021590918843394832;1.0;0.0;0.992;0.006531972647421796;0.9959731543624162;0.0032879056950109726
File contains tab characters (this is the first instance).;2269;13;2256;0.05;0.9929925077126487;0.0006058936573321872;0.6538461538461539;0.051601568711533596;0.42758335232019445;0.03244419870394096;0.5167334191741213;0.038266572592750424
Variable must be private and have accessor methods;2269;15;2254;0.05;0.998016747465844;0.00029564583219476756;0.7333333333333333;0.0;0.9596153846153845;0.05309689330738159;0.8307081807081806;0.020527199787938447
Missing a Javadoc comment.;2269;58;2211;0.05;0.9926399294843543;0.0006841857512675102;0.8603448275862069;0.012068965517241362;0.8532108544300552;0.01726294625318418;0.8566968905812196;0.012852650264347398
Parameter should be final;2269;80;2189;0.05;0.9930365799911856;0.00038421321670697333;0.88125;0.012808688457449485;0.9182001724679939;0.011221547250625106;0.8992192007446456;0.005729352496300059
Class designed for extension without Javadoc;2269;49;2220;0.05;0.998016747465844;0.00029564583219476756;0.9489795918367347;0.013690212107141534;0.9587548849326966;0.0005785619097303269;0.9537962865558596;0.007248070202263049
'}' should be on the same line as the next part of a multi-block statement;2269;10;2259;0.05;0.9980608197443808;0.0004039291048881248;0.8800000000000001;0.039999999999999994;0.7372261072261073;0.055157820122869274;0.8008356860530773;0.03699171748367502
Hidden field;2269;20;2249;0.05;0.9915381225209343;0.000647727565301845;0.595;0.014999999999999979;0.5195599472990777;0.03340113016031445;0.554047925982129;0.019907950150079318
Symbol is not followed by whitespace.;2269;13;2256;0.05;0.9895107977082415;0.000783445960098322;0.23076923076923078;0.0;0.18057588825003684;0.019058421788249985;0.2020556771432745;0.01198226434260074
Name must match pattern '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$';2269;3;2266;0.05;0.9966064345526664;0.0002019645524440624;0.0;0.0;0.0;0.0;0.0;0.0
Expected @param tag;2269;26;2243;0.05;0.9896430145438521;0.000929705734232227;0.5153846153846153;0.03922322702763678;0.552493361710753;0.044001017829579735;0.5328833841228799;0.03873985969739713
Avoid inline conditionals.;2269;8;2261;0.05;0.9998677831643896;0.0002019645524440624;1.0;0.0;0.9666666666666666;0.05091750772173158;0.9823529411764707;0.026956327617387303
Symbol is followed by whitespace.;2269;3;2266;0.05;0.9976200969590128;0.0002923424231251964;0.0;0.0;0.0;0.0;0.0;0.0
Symbol is preceded with whitespace.;2269;2;2267;0.05;0.9986337593653591;0.0003085059497575982;0.0;0.0;0.0;0.0;0.0;0.0
"switch without ""default"" clause.";2269;0;2269;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Symbol is not preceded with whitespace.;2269;2;2267;0.05;0.9992066989863375;0.0002644336712207984;0.45;0.35000000000000003;0.5;0.3872983346207417;0.4333333333333333;0.29059326290271154
Unused import;2269;2;2267;0.05;0.9980608197443809;0.00021590918843394832;0.0;0.0;0.0;0.0;0.0;0.0
Expected an @return tag.;2269;13;2256;0.05;0.9942706037902159;0.0003941944429263567;0.5692307692307692;0.05102499677469848;0.49948717948717947;0.030421107589669514;0.5317495403702299;0.03850382064387283
Avoid nested blocks.;2269;1;2268;0.05;0.9995592772146319;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
Magic number;2270;2;2268;0.05;0.9983259911894272;0.0002643171806167355;0.0;0.0;0.0;0.0;0.0;0.0
Symbol should be on a new line.;2269;3;2266;0.05;0.9985896870868224;0.00017628911414719896;0.0;0.0;0.0;0.0;0.0;0.0
File does not end with a newline.;2269;0;2269;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Redundant 'public' modifier.;2269;2;2267;0.05;0.9982371088585282;2.220446049250313e-16;0.0;0.0;0.0;0.0;0.0;0.0
Expected @throws tag;2269;4;2265;0.05;0.9992507712648745;0.0002019645524440624;0.825;0.11456439237389601;0.765;0.02291287847477922;0.7916666666666666;0.06364688465216446
'static' modifier out of order with the JLS suggestions.;2269;1;2268;0.05;0.9993829881004848;0.0002923424231251964;0.0;0.0;0.0;0.0;0.0;0.0
First sentence should end with a period.;2269;4;2265;0.05;0.9957690612604673;0.00040392910488817326;0.0;0.0;0.0;0.0;0.0;0.0
