rule;n;n_pos;n_neg;subset;acc;acc_std;rec;rec_std;prec;prec_std;fscore;fscore_std
Any;780;150;630;0.05;0.8915384615384614;0.004837939042080331;0.7333333333333334;0.017384539747207082;0.7117081152728949;0.0142787235616249;0.7222316624249207;0.01252229676223863
Line is longer than 80 characters;780;83;697;0.05;0.9321794871794872;0.004112567931370612;0.6795180722891566;0.03151011284487233;0.6820373746060994;0.018151818666235015;0.6805067457130088;0.02205443454076362
Line has trailing spaces.;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'{' should be on the previous line.;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
File contains tab characters (this is the first instance).;781;6;775;0.05;0.9848911651728554;0.0014932015095634695;0.2;0.06666666666666667;0.14706349206349206;0.043880420549878105;0.1685989010989011;0.051340633238876825
Variable must be private and have accessor methods;780;3;777;0.05;0.9935897435897438;0.0005733507634614825;0.0;0.0;0.0;0.0;0.0;0.0
Missing a Javadoc comment.;780;19;761;0.05;0.9876923076923078;0.001538461538461533;0.7368421052631577;1.1102230246251565e-16;0.7560517715858273;0.05225188121876006;0.7454642496747759;0.02455961873035621
Parameter should be final;780;31;749;0.05;0.9920512820512821;0.0013808114890088423;0.9193548387096774;0.026007283059027556;0.8850836999022483;0.01415198846755585;0.9017729134664618;0.017920430893272568
Class designed for extension without Javadoc;780;11;769;0.05;0.9837179487179485;0.0005875097044815667;0.48181818181818176;0.04165977904505308;0.4301282051282051;0.02056283965685313;0.45434782608695656;0.029886363227972824
'}' should be on the same line as the next part of a multi-block statement;780;1;779;0.05;0.9980769230769232;0.0008600261451922238;0.0;0.0;0.0;0.0;0.0;0.0
Hidden field;781;4;777;0.05;0.9939820742637643;0.0008198622583140609;0.25;0.0;0.39166666666666666;0.09166666666666667;0.30119047619047623;0.02819695067220715
Symbol is not followed by whitespace.;780;3;777;0.05;0.9943589743589744;0.0011750194089630319;0.06666666666666667;0.13333333333333333;0.1;0.20000000000000004;0.08;0.16
Name must match pattern '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$';780;1;779;0.05;0.998717948717949;2.220446049250313e-16;0.0;0.0;0.0;0.0;0.0;0.0
Expected @param tag;780;11;769;0.05;0.9823076923076922;0.0012561485860426512;0.6181818181818182;0.036363636363636376;0.4157286598850066;0.024504844303162576;0.4965185185185185;0.0241827745381323
Avoid inline conditionals.;780;4;776;0.05;0.9994871794871795;0.0006280742930213256;0.9;0.12247448713915891;1.0;0.0;0.9428571428571428;0.06998542122237654
Symbol is followed by whitespace.;780;1;779;0.05;0.9976923076923079;0.0007692307692307665;0.0;0.0;0.0;0.0;0.0;0.0
Symbol is preceded with whitespace.;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"switch without ""default"" clause.";780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Symbol is not preceded with whitespace.;781;2;779;0.05;0.997439180537772;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
Unused import;781;1;780;0.05;0.9966709346991038;0.0011735149026775782;0.0;0.0;0.0;0.0;0.0;0.0
Expected an @return tag.;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Avoid nested blocks.;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Magic number;780;1;779;0.05;0.998717948717949;2.220446049250313e-16;0.0;0.0;0.0;0.0;0.0;0.0
Symbol should be on a new line.;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
File does not end with a newline.;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Redundant 'public' modifier.;780;1;779;0.05;0.9970512820512821;0.0005875097044815158;0.0;0.0;0.0;0.0;0.0;0.0
Expected @throws tag;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'static' modifier out of order with the JLS suggestions.;780;1;779;0.05;0.998076923076923;0.0006410256410256387;0.0;0.0;0.0;0.0;0.0;0.0
First sentence should end with a period.;780;2;778;0.05;0.9944871794871796;0.0012884455924513916;0.0;0.0;0.0;0.0;0.0;0.0
Redundant 'private' modifier.;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'if' construct must use '{}'s.;780;5;775;0.05;0.9962820512820512;0.0006904057445044212;0.9;0.1341640786499874;0.667142857142857;0.07873035874270551;0.7548717948717949;0.045684220412964355
Utility classes should not have a public or default constructor.;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Unknown tag;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Class should be declared as final;780;1;779;0.05;0.9974358974358974;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'else' construct must use '{}'s.;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'for' construct must use '{}'s.;780;1;779;0.05;0.9985897435897435;0.00038461538461538326;0.0;0.0;0.0;0.0;0.0;0.0
'protected' modifier out of order with the JLS suggestions.;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Method length greater than 150;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Inner assignments should be avoided.;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Unclosed HTML tag found;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Comment matches to-do format 'TODO:'.;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Redundant 'final' modifier.;780;2;778;0.05;0.9969230769230769;0.0006280742930213256;0.0;0.0;0.0;0.0;0.0;0.0
Expression can be simplified.;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Extra HTML tag found;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'public' modifier out of order with the JLS suggestions.;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Array brackets at illegal position.;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Unused @param tag;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Unable to get class information for @throws tag;780;0;780;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Any;1560;300;1260;0.1;0.9228846153846154;0.0030882537103707856;0.8143333333333332;0.01044030650891054;0.7909972783047979;0.010325322724782742;0.8024327215103806;0.007644484879653671
Line is longer than 80 characters;1560;166;1394;0.1;0.9739102564102564;0.0009088106973562676;0.8891566265060241;0.011493243390565617;0.8688111279130448;0.0051926161302437305;0.8788045017895744;0.004862282390635136
Line has trailing spaces.;1559;0;1559;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'{' should be on the previous line.;1559;0;1559;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
File contains tab characters (this is the first instance).;1560;11;1549;0.1;0.9895512820512822;0.0005006570305068351;0.40909090909090906;0.04545454545454544;0.3146978021978022;0.023285837019350285;0.3551130930261365;0.0290644459003664
Variable must be private and have accessor methods;1560;6;1554;0.1;0.996025641025641;0.000558833197889828;0.16666666666666669;2.7755575615628914e-17;0.5416666666666666;0.24509068616421237;0.2465873015873016;0.025451454143420038
Missing a Javadoc comment.;1560;38;1522;0.1;0.9875641025641027;0.0007692307692307665;0.7473684210526316;0.012892051277806241;0.7438626582047634;0.020238659191256215;0.7454890723311776;0.014025916045595228
Parameter should be final;1560;62;1498;0.1;0.9924358974358976;0.0007475579352365742;0.9274193548387096;0.013003641529513799;0.887628896290277;0.014673802337276153;0.9069611232825547;0.0088967437174883
Class designed for extension without Javadoc;1559;21;1538;0.1;0.9872995509942271;0.0004800073619979511;0.5666666666666667;0.01428571428571427;0.5270845096932053;0.01706874030771387;0.5459397966374709;0.011847513109324461
'}' should be on the same line as the next part of a multi-block statement;1559;1;1558;0.1;0.9993585631815266;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Hidden field;1560;7;1553;0.1;0.9928205128205129;0.0008006407690254329;0.41428571428571426;0.04285714285714285;0.29371212121212126;0.040545593264246095;0.34207946336429307;0.036028700023305285
Symbol is not followed by whitespace.;1560;6;1554;0.1;0.9915384615384616;0.0006280742930213256;0.16666666666666669;2.7755575615628914e-17;0.10992424242424241;0.01158925848153458;0.13212184873949578;0.0084369688612476
Name must match pattern '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$';1559;2;1557;0.1;0.9981398332264272;0.00034542429808430257;0.0;0.0;0.0;0.0;0.0;0.0
Expected @param tag;1560;22;1538;0.1;0.9917307692307693;0.0009267200188974942;0.7636363636363636;0.04453617714151235;0.6857913752913752;0.029379151300952373;0.7222878647716762;0.03308398607960016
Avoid inline conditionals.;1559;7;1552;0.1;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
Symbol is followed by whitespace.;1559;2;1557;0.1;0.9980115458627324;0.00034542429808428815;0.05;0.15000000000000002;0.025;0.07500000000000001;0.03333333333333333;0.09999999999999999
Symbol is preceded with whitespace.;1560;1;1559;0.1;0.999294871794872;0.0001923076923076916;0.0;0.0;0.0;0.0;0.0;0.0
"switch without ""default"" clause.";1559;0;1559;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Symbol is not preceded with whitespace.;1560;3;1557;0.1;0.9985897435897435;0.0002564102564102555;0.33333333333333337;5.551115123125783e-17;0.9;0.2;0.48;0.039999999999999994
Unused import;1560;1;1559;0.1;0.9986538461538462;0.0005324758886485927;0.0;0.0;0.0;0.0;0.0;0.0
Expected an @return tag.;1560;1;1559;0.1;0.9969871794871796;0.0002937548522407579;0.0;0.0;0.0;0.0;0.0;0.0
Avoid nested blocks.;1560;1;1559;0.1;0.999294871794872;0.0001923076923076916;0.0;0.0;0.0;0.0;0.0;0.0
Magic number;1560;2;1558;0.1;0.9969871794871794;0.0004104566818867196;0.0;0.0;0.0;0.0;0.0;0.0
Symbol should be on a new line.;1559;0;1559;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
File does not end with a newline.;1559;0;1559;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Redundant 'public' modifier.;1559;2;1557;0.1;0.9987812700449006;0.0003454242980843252;0.8;0.24494897427831783;0.5166666666666666;0.08975274678557507;0.6166666666666667;0.1284523257866513
Expected @throws tag;1559;0;1559;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'static' modifier out of order with the JLS suggestions.;1559;1;1558;0.1;0.9993585631815266;0.0;0.0;0.0;0.0;0.0;0.0;0.0
First sentence should end with a period.;1560;4;1556;0.1;0.9982692307692307;0.0005769230769230749;0.775;0.1346291201783626;0.6383333333333334;0.10084366338270563;0.6961111111111111;0.09854027189522663
Redundant 'private' modifier.;1559;0;1559;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'if' construct must use '{}'s.;1560;10;1550;0.1;0.9971153846153846;0.0003205128205128194;0.79;0.030000000000000023;0.7686868686868688;0.03441762633818349;0.7784461152882206;0.022689664757406146
Utility classes should not have a public or default constructor.;1560;1;1559;0.1;0.9989102564102564;0.0005769230769230749;0.0;0.0;0.0;0.0;0.0;0.0
Unknown tag;1560;1;1559;0.1;0.9993589743589745;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
Class should be declared as final;1559;1;1558;0.1;0.9981398332264273;0.0006051302842884041;0.0;0.0;0.0;0.0;0.0;0.0
'else' construct must use '{}'s.;1560;1;1559;0.1;0.9993589743589745;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
'for' construct must use '{}'s.;1560;2;1558;0.1;0.9967948717948719;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
'protected' modifier out of order with the JLS suggestions.;1560;1;1559;0.1;0.9992307692307693;0.00025641025641025554;0.0;0.0;0.0;0.0;0.0;0.0
Method length greater than 150;1560;1;1559;0.1;0.9993589743589745;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
Inner assignments should be avoided.;1560;1;1559;0.1;0.9993589743589745;1.1102230246251565e-16;0.0;0.0;0.0;0.0;0.0;0.0
