rule;n;n_pos;n_neg;subset;acc;acc_std;rec;rec_std;prec;prec_std;fscore;fscore_std
Any;745;253;492;0.05;0.9259060402684562;0.0038810288039733912;0.8715415019762845;0.008337953798311872;0.906708762615278;0.007277741574942621;0.8887476581966383;0.005936300105375573
Line is longer than 80 characters;744;51;693;0.05;0.9821236559139784;0.0015960137213760627;0.8588235294117647;0.024490188229013336;0.8779502734052272;0.011625663763161157;0.868046634786297;0.013061168851842298
Line has trailing spaces.;745;48;697;0.05;0.972214765100671;0.0012080536912751929;0.76875;0.006250000000000012;0.7939702529457386;0.016887575100929704;0.7810231845840616;0.007210706592510334
'{' should be on the previous line.;744;74;670;0.05;0.9967741935483871;0.0006584649846191333;1.0;0.0;0.9686261107313738;0.006194881782841962;0.9840529801324502;0.0032010991782067217
File contains tab characters (this is the first instance).;745;4;741;0.05;0.9875167785234898;0.0006151108315376855;0.0;0.0;0.0;0.0;0.0;0.0
Variable must be private and have accessor methods;744;12;732;0.05;0.9983870967741935;0.0005376344086021501;0.8999999999999998;0.033333333333333305;1.0;0.0;0.9470355731225297;0.0189723320158103
Missing a Javadoc comment.;745;25;720;0.05;0.9876510067114094;0.0010044717816842614;0.788;0.018330302779823376;0.835072463768116;0.019656790531230095;0.8106972789115646;0.015337731911100053
Parameter should be final;745;25;720;0.05;0.9974496644295302;0.0007228409137093392;0.9600000000000002;2.220446049250313e-16;0.9643076923076922;0.02092307692307692;0.9620360144057625;0.010394959577548416
Class designed for extension without Javadoc;745;33;712;0.05;0.9973154362416107;1.1102230246251565e-16;0.9696969696969695;2.220446049250313e-16;0.9696969696969695;2.220446049250313e-16;0.9696969696969695;2.220446049250313e-16
'}' should be on the same line as the next part of a multi-block statement;745;3;742;0.05;0.997986577181208;0.0010821822480937661;0.6666666666666667;0.21081851067789195;0.825;0.18427786989579983;0.7157142857142856;0.16599934431474472
Hidden field;745;8;737;0.05;0.9902013422818792;0.002818791946308723;0.875;0.0;0.5402855477855478;0.08911749864549981;0.6638550262348889;0.06689944756556207
Symbol is not followed by whitespace.;744;10;734;0.05;0.9768817204301076;0.0011717470278335134;0.24000000000000005;0.04898979485566356;0.1992840492840493;0.03272507298081598;0.21739600978731413;0.038899003079246375
Name must match pattern '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$';745;2;743;0.05;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
Expected @param tag;744;6;738;0.05;0.9876344086021505;0.0016787629027952668;0.45;0.15;0.3101046176046176;0.07738328915027874;0.3641020254255548;0.10007386538281025
Avoid inline conditionals.;745;2;743;0.05;0.998255033557047;0.0010483556611955295;0.45;0.2692582403567252;0.75;0.4031128874149275;0.55;0.29860788111948194
Symbol is followed by whitespace.;745;2;743;0.05;0.9977181208053691;0.0006151108315376856;0.15;0.22912878474779202;0.3;0.45825756949558405;0.2;0.30550504633038933
Symbol is preceded with whitespace.;745;2;743;0.05;0.9974496644295302;0.000402684563758382;0.05;0.15000000000000002;0.1;0.30000000000000004;0.06666666666666667;0.19999999999999998
"switch without ""default"" clause.";744;0;744;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Symbol is not preceded with whitespace.;745;1;744;0.05;0.9985234899328859;0.000402684563758382;0.0;0.0;0.0;0.0;0.0;0.0
Unused import;744;0;744;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Expected an @return tag.;745;4;741;0.05;0.9970469798657717;0.0005369127516778871;0.75;0.0;0.72;0.06000000000000001;0.7333333333333333;0.033333333333333395
Avoid nested blocks.;745;1;744;0.05;0.9983892617449663;0.0005369127516778428;0.0;0.0;0.0;0.0;0.0;0.0
Magic number;744;0;744;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
