rule;n;n_pos;n_neg;subset;acc;acc_std;rec;rec_std;prec;prec_std;fscore;fscore_std
Any;746;137;609;0.05;0.927479892761394;0.004382783572190838;0.8343065693430656;0.012663760272187921;0.7846091619777498;0.013262084878527676;0.8086435126330273;0.01129601060544882
Line is longer than 80 characters;746;87;659;0.05;0.9521447721179624;0.004112027252058439;0.8298850574712644;0.028987402788318333;0.7755695682000094;0.01525606976460445;0.801608618712795;0.018747552349636265
Line has trailing spaces.;746;0;746;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'{' should be on the previous line.;746;0;746;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
File contains tab characters (this is the first instance).;746;5;741;0.05;0.9824396782841823;0.0016362675088114893;0.2;0.0;0.10085137085137086;0.015382348004226259;0.13345238095238096;0.012445459243527843
Variable must be private and have accessor methods;746;1;745;0.05;0.9954423592493298;0.0006566996629445523;0.0;0.0;0.0;0.0;0.0;0.0
Missing a Javadoc comment.;746;15;731;0.05;0.9938337801608579;0.001367029360212544;0.9800000000000001;0.030550504633038926;0.7747076023391812;0.03466762404862163;0.864985994397759;0.02896176339705245
Parameter should be final;746;25;721;0.05;0.9926273458445041;0.0013735858935602688;0.8920000000000001;0.031240998703626646;0.8895849746067137;0.02972968778177398;0.8901997876073506;0.02043224927246665
Class designed for extension without Javadoc;746;6;740;0.05;0.9957104557640752;0.000536193029490617;0.6666666666666667;1.1102230246251565e-16;0.7733333333333333;0.053333333333333365;0.7151515151515151;0.02424242424242422
'}' should be on the same line as the next part of a multi-block statement;746;7;739;0.05;0.9971849865951743;0.000721871958060926;0.9571428571428573;0.06546536707079774;0.7898809523809524;0.039786075250326465;0.8640476190476191;0.03711079202002761
Hidden field;747;10;737;0.05;0.9959839357429718;0.0;0.8;0.0;0.888888888888889;1.1102230246251565e-16;0.8421052631578949;1.1102230246251565e-16
Symbol is not followed by whitespace.;745;0;745;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Name must match pattern '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$';746;1;745;0.05;0.9982573726541556;0.0006142862861871103;0.0;0.0;0.0;0.0;0.0;0.0
Expected @param tag;746;9;737;0.05;0.9953083109919572;0.0008992230472519268;0.7777777777777778;0.0;0.8291666666666666;0.07164566875849405;0.8012254901960784;0.031990380358375516
Avoid inline conditionals.;746;3;743;0.05;0.9990616621983914;0.0013471683138231766;0.8333333333333333;0.22360679774997896;0.9166666666666666;0.17078251276599332;0.8666666666666666;0.19321835661585918
Symbol is followed by whitespace.;746;0;746;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Symbol is preceded with whitespace.;746;0;746;0.05;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
